,Unnamed: 0,name,place_id,lat,lon,city,pop
18,18,Bormes-les-Mimosas,101877567,43.1506968,6.3419285,Bormes-les-Mimosas,0.032
21,21,Aix-en-Provence,102741999,43.5298424,5.4474738,Aix-en-Provence,0.059
26,26,Saintes-Maries-de-la-Mer,102529062,43.4515922,4.4277202,Saintes-Maries-de-la-Mer,0.1
22,22,Avignon,102193665,43.9492493,4.8059012,Avignon,0.1004999999999999
24,24,Nîmes,102307633,43.8374249,4.3600687,Nîmes,0.128
19,19,Cassis,102437647,43.2140359,5.5396318,Cassis,0.1359999999999999
25,25,Aigues-Mortes,102716851,43.5661521,4.19154,Aigues-Mortes,0.1389999999999999
27,27,Collioure,103975931,42.52505,3.0831554,Collioure,0.141
20,20,Marseille,387540349,43.2961743,5.3699525,Marseille,0.1455
23,23,Uzès,106427400,44.0121279,4.4196718,Uzès,0.148
17,17,Gorges du Verdon,101828497,43.7496562,6.3285616,Gorges du Verdon,0.185
28,28,Carcassonne,104358485,43.2130358,2.3491069,Carcassonne,0.212
30,30,Toulouse,376688237,43.6044622,1.4442469,Toulouse,0.2325
1,1,Saint-Malo,277106181,48.649518,-2.0260409,Saint-Malo,0.278
7,7,Lille,118533424,50.6365654,3.0635282,Lille,0.317
2,2,Bayeux,276101915,49.2764624,-0.7024738,Bayeux,0.325
16,16,Lyon,108560795,45.7578137,4.8320114,Lyon,0.3319999999999999
3,3,Le Havre,116797886,49.4938975,0.1079732,Le Havre,0.344
31,31,Montauban,105191250,44.0175835,1.3549991,Montauban,0.4075
34,34,La Rochelle,280762466,46.1591126,-1.1520434,La Rochelle,0.4275
0,0,Mont Saint-Michel,276970680,48.6359541,-1.511459954959514,Mont Saint-Michel,0.4295
4,4,Rouen,116490697,49.4404591,1.0939658,Rouen,0.492
5,5,Paris,114827617,48.8534951,2.3483915,Paris,0.4945
33,33,Bayonne,281543649,43.4945144,-1.4736657,Bayonne,0.516
32,32,Biarritz,283462568,43.4832523,-1.5592776,Biarritz,0.528
6,6,Amiens,116694242,49.8941708,2.2956951,Amiens,0.55
8,8,Strasbourg,381804960,48.584614,7.7507127,Strasbourg,0.5700000000000001
9,9,Château du Haut-Kœnigsbourg,136411398,48.2495226,7.3454923,Château du Haut-Kœnigsbourg,0.5795
29,29,Tarascon-sur-Ariège,103773365,42.8458016,1.6067586,Tarascon-sur-Ariège,0.585
12,12,Besançon,110217040,47.2380222,6.0243622,Besançon,0.6195
13,13,Dijon,111540922,47.3215806,5.0414701,Dijon,0.6585
10,10,Colmar,136331572,48.0777517,7.3579641,Colmar,0.697
15,15,Grenoble,108194303,45.1875602,5.7357819,Grenoble,0.731
11,11,Eguisheim,136516441,48.0447968,7.3079618,Eguisheim,0.7310000000000001
14,14,Annecy,107354879,45.8992348,6.1288847,Annecy,0.7344999999999999
