,dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain,city,city_id,month,day,hours
0,1718744400,"{'temp': 290.54, 'feels_like': 290.63, 'temp_min': 288.14, 'temp_max': 290.54, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 1008, 'humidity': 88, 'temp_kf': 2.4}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 100},"{'speed': 4.71, 'deg': 20, 'gust': 10.25}",10000.0,0.0,{'pod': 'n'},2024-06-18 21:00:00,,Mont Saint-Michel,276970680,6,18,21
1,1718755200,"{'temp': 289.23, 'feels_like': 289.27, 'temp_min': 286.61, 'temp_max': 289.23, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 1010, 'humidity': 91, 'temp_kf': 2.62}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 96},"{'speed': 3.57, 'deg': 41, 'gust': 8.2}",10000.0,0.0,{'pod': 'n'},2024-06-19 00:00:00,,Mont Saint-Michel,276970680,6,19,0
2,1718766000,"{'temp': 288.06, 'feels_like': 288.03, 'temp_min': 286.82, 'temp_max': 288.06, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1010, 'humidity': 93, 'temp_kf': 1.24}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 95},"{'speed': 4.15, 'deg': 43, 'gust': 8.42}",10000.0,0.0,{'pod': 'n'},2024-06-19 03:00:00,,Mont Saint-Michel,276970680,6,19,3
3,1718776800,"{'temp': 288.14, 'feels_like': 288.1, 'temp_min': 288.14, 'temp_max': 288.14, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 1010, 'humidity': 92, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 95},"{'speed': 5.57, 'deg': 38, 'gust': 11.27}",10000.0,0.0,{'pod': 'd'},2024-06-19 06:00:00,,Mont Saint-Michel,276970680,6,19,6
4,1718787600,"{'temp': 290.24, 'feels_like': 290.17, 'temp_min': 290.24, 'temp_max': 290.24, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 1012, 'humidity': 83, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 100},"{'speed': 6.26, 'deg': 52, 'gust': 9.92}",10000.0,0.0,{'pod': 'd'},2024-06-19 09:00:00,,Mont Saint-Michel,276970680,6,19,9
5,1718798400,"{'temp': 289.52, 'feels_like': 289.64, 'temp_min': 289.52, 'temp_max': 289.52, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 1012, 'humidity': 93, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 100},"{'speed': 4.6, 'deg': 57, 'gust': 9.74}",1841.0,0.99,{'pod': 'd'},2024-06-19 12:00:00,{'3h': 2.41},Mont Saint-Michel,276970680,6,19,12
6,1718809200,"{'temp': 290.34, 'feels_like': 290.46, 'temp_min': 290.34, 'temp_max': 290.34, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1013, 'humidity': 90, 'temp_kf': 0}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",{'all': 100},"{'speed': 6.57, 'deg': 50, 'gust': 10.13}",10000.0,1.0,{'pod': 'd'},2024-06-19 15:00:00,{'3h': 3.28},Mont Saint-Michel,276970680,6,19,15
7,1718820000,"{'temp': 290.45, 'feels_like': 290.53, 'temp_min': 290.45, 'temp_max': 290.45, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1013, 'humidity': 88, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 99},"{'speed': 6.33, 'deg': 48, 'gust': 11.23}",10000.0,1.0,{'pod': 'd'},2024-06-19 18:00:00,{'3h': 0.59},Mont Saint-Michel,276970680,6,19,18
8,1718830800,"{'temp': 289.02, 'feels_like': 288.99, 'temp_min': 289.02, 'temp_max': 289.02, 'pressure': 1019, 'sea_level': 1019, 'grnd_level': 1014, 'humidity': 89, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 77},"{'speed': 6.09, 'deg': 52, 'gust': 12.08}",10000.0,0.27,{'pod': 'n'},2024-06-19 21:00:00,{'3h': 0.11},Mont Saint-Michel,276970680,6,19,21
9,1718841600,"{'temp': 288.39, 'feels_like': 288.37, 'temp_min': 288.39, 'temp_max': 288.39, 'pressure': 1019, 'sea_level': 1019, 'grnd_level': 1014, 'humidity': 92, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 67},"{'speed': 5.3, 'deg': 63, 'gust': 11.66}",10000.0,0.98,{'pod': 'n'},2024-06-20 00:00:00,{'3h': 1.26},Mont Saint-Michel,276970680,6,20,0
