,pop,month,day,hours,city,city_id
700,0.37,6,21,9,Gorges du Verdon,101828497
695,0.2,6,20,18,Gorges du Verdon,101828497
692,0.86,6,20,9,Gorges du Verdon,101828497
684,0.0,6,19,9,Gorges du Verdon,101828497
685,0.2,6,19,12,Gorges du Verdon,101828497
693,0.0,6,20,12,Gorges du Verdon,101828497
701,0.14,6,21,12,Gorges du Verdon,101828497
708,0.0,6,22,9,Gorges du Verdon,101828497
709,0.0,6,22,12,Gorges du Verdon,101828497
686,1.0,6,19,15,Gorges du Verdon,101828497
694,0.0,6,20,15,Gorges du Verdon,101828497
702,0.0,6,21,15,Gorges du Verdon,101828497
710,0.0,6,22,15,Gorges du Verdon,101828497
718,0.0,6,23,15,Gorges du Verdon,101828497
687,0.93,6,19,18,Gorges du Verdon,101828497
717,0.0,6,23,12,Gorges du Verdon,101828497
716,0.0,6,23,9,Gorges du Verdon,101828497
703,0.0,6,21,18,Gorges du Verdon,101828497
711,0.0,6,22,18,Gorges du Verdon,101828497
719,0.0,6,23,18,Gorges du Verdon,101828497
756,0.0,6,23,9,Bormes-les-Mimosas,101877567
759,0.0,6,23,18,Bormes-les-Mimosas,101877567
758,0.0,6,23,15,Bormes-les-Mimosas,101877567
750,0.0,6,22,15,Bormes-les-Mimosas,101877567
742,0.0,6,21,15,Bormes-les-Mimosas,101877567
734,0.0,6,20,15,Bormes-les-Mimosas,101877567
726,0.28,6,19,15,Bormes-les-Mimosas,101877567
751,0.0,6,22,18,Bormes-les-Mimosas,101877567
743,0.0,6,21,18,Bormes-les-Mimosas,101877567
757,0.0,6,23,12,Bormes-les-Mimosas,101877567
749,0.0,6,22,12,Bormes-les-Mimosas,101877567
741,0.0,6,21,12,Bormes-les-Mimosas,101877567
725,0.0,6,19,12,Bormes-les-Mimosas,101877567
733,0.0,6,20,12,Bormes-les-Mimosas,101877567
727,0.04,6,19,18,Bormes-les-Mimosas,101877567
748,0.0,6,22,9,Bormes-les-Mimosas,101877567
740,0.0,6,21,9,Bormes-les-Mimosas,101877567
732,0.32,6,20,9,Bormes-les-Mimosas,101877567
724,0.0,6,19,9,Bormes-les-Mimosas,101877567
735,0.0,6,20,18,Bormes-les-Mimosas,101877567
887,0.0,6,19,18,Avignon,102193665
884,0.0,6,19,9,Avignon,102193665
892,1.0,6,20,9,Avignon,102193665
900,0.0,6,21,9,Avignon,102193665
911,0.0,6,22,18,Avignon,102193665
919,0.0,6,23,18,Avignon,102193665
908,0.0,6,22,9,Avignon,102193665
916,0.0,6,23,9,Avignon,102193665
909,0.0,6,22,12,Avignon,102193665
903,0.0,6,21,18,Avignon,102193665
917,0.0,6,23,12,Avignon,102193665
895,0.0,6,20,18,Avignon,102193665
901,0.0,6,21,12,Avignon,102193665
918,0.0,6,23,15,Avignon,102193665
910,0.02,6,22,15,Avignon,102193665
885,0.0,6,19,12,Avignon,102193665
902,0.0,6,21,15,Avignon,102193665
894,0.0,6,20,15,Avignon,102193665
886,0.0,6,19,15,Avignon,102193665
893,0.99,6,20,12,Avignon,102193665
983,0.0,6,21,18,Nîmes,102307633
989,0.0,6,22,12,Nîmes,102307633
981,0.0,6,21,12,Nîmes,102307633
973,1.0,6,20,12,Nîmes,102307633
965,0.2,6,19,12,Nîmes,102307633
982,0.0,6,21,15,Nîmes,102307633
974,0.1,6,20,15,Nîmes,102307633
966,0.0,6,19,15,Nîmes,102307633
998,0.0,6,23,15,Nîmes,102307633
999,0.0,6,23,18,Nîmes,102307633
991,0.0,6,22,18,Nîmes,102307633
967,0.0,6,19,18,Nîmes,102307633
975,0.06,6,20,18,Nîmes,102307633
996,0.0,6,23,9,Nîmes,102307633
988,0.0,6,22,9,Nîmes,102307633
997,0.0,6,23,12,Nîmes,102307633
980,0.0,6,21,9,Nîmes,102307633
972,1.0,6,20,9,Nîmes,102307633
964,0.0,6,19,9,Nîmes,102307633
990,0.2,6,22,15,Nîmes,102307633
798,0.0,6,23,15,Cassis,102437647
764,0.0,6,19,9,Cassis,102437647
796,0.0,6,23,9,Cassis,102437647
772,0.96,6,20,9,Cassis,102437647
780,0.0,6,21,9,Cassis,102437647
788,0.0,6,22,9,Cassis,102437647
790,0.0,6,22,15,Cassis,102437647
775,0.0,6,20,18,Cassis,102437647
782,0.0,6,21,15,Cassis,102437647
765,0.0,6,19,12,Cassis,102437647
773,0.0,6,20,12,Cassis,102437647
781,0.0,6,21,12,Cassis,102437647
799,0.0,6,23,18,Cassis,102437647
791,0.0,6,22,18,Cassis,102437647
789,0.0,6,22,12,Cassis,102437647
767,0.85,6,19,18,Cassis,102437647
797,0.0,6,23,12,Cassis,102437647
783,0.0,6,21,18,Cassis,102437647
774,0.2,6,20,15,Cassis,102437647
766,0.71,6,19,15,Cassis,102437647
1076,0.0,6,23,9,Saintes-Maries-de-la-Mer,102529062
1068,0.0,6,22,9,Saintes-Maries-de-la-Mer,102529062
1060,0.0,6,21,9,Saintes-Maries-de-la-Mer,102529062
1071,0.0,6,22,18,Saintes-Maries-de-la-Mer,102529062
1078,0.0,6,23,15,Saintes-Maries-de-la-Mer,102529062
1044,0.0,6,19,9,Saintes-Maries-de-la-Mer,102529062
1045,0.0,6,19,12,Saintes-Maries-de-la-Mer,102529062
1052,1.0,6,20,9,Saintes-Maries-de-la-Mer,102529062
1069,0.0,6,22,12,Saintes-Maries-de-la-Mer,102529062
1047,0.0,6,19,18,Saintes-Maries-de-la-Mer,102529062
1079,0.0,6,23,18,Saintes-Maries-de-la-Mer,102529062
1063,0.0,6,21,18,Saintes-Maries-de-la-Mer,102529062
1055,0.0,6,20,18,Saintes-Maries-de-la-Mer,102529062
1053,1.0,6,20,12,Saintes-Maries-de-la-Mer,102529062
1070,0.0,6,22,15,Saintes-Maries-de-la-Mer,102529062
1062,0.0,6,21,15,Saintes-Maries-de-la-Mer,102529062
1054,0.0,6,20,15,Saintes-Maries-de-la-Mer,102529062
1046,0.0,6,19,15,Saintes-Maries-de-la-Mer,102529062
1077,0.0,6,23,12,Saintes-Maries-de-la-Mer,102529062
1061,0.0,6,21,12,Saintes-Maries-de-la-Mer,102529062
1015,0.04,6,20,18,Aigues-Mortes,102716851
1007,0.0,6,19,18,Aigues-Mortes,102716851
1039,0.0,6,23,18,Aigues-Mortes,102716851
1031,0.2,6,22,18,Aigues-Mortes,102716851
1023,0.0,6,21,18,Aigues-Mortes,102716851
1036,0.0,6,23,9,Aigues-Mortes,102716851
1020,0.0,6,21,9,Aigues-Mortes,102716851
1028,0.0,6,22,9,Aigues-Mortes,102716851
1004,0.0,6,19,9,Aigues-Mortes,102716851
1006,0.0,6,19,15,Aigues-Mortes,102716851
1014,0.34,6,20,15,Aigues-Mortes,102716851
1022,0.0,6,21,15,Aigues-Mortes,102716851
1030,0.0,6,22,15,Aigues-Mortes,102716851
1038,0.0,6,23,15,Aigues-Mortes,102716851
1005,0.2,6,19,12,Aigues-Mortes,102716851
1013,1.0,6,20,12,Aigues-Mortes,102716851
1012,1.0,6,20,9,Aigues-Mortes,102716851
1021,0.0,6,21,12,Aigues-Mortes,102716851
1029,0.0,6,22,12,Aigues-Mortes,102716851
1037,0.0,6,23,12,Aigues-Mortes,102716851
870,0.0,6,22,15,Aix-en-Provence,102741999
862,0.0,6,21,15,Aix-en-Provence,102741999
854,0.2,6,20,15,Aix-en-Provence,102741999
846,0.07,6,19,15,Aix-en-Provence,102741999
847,0.27,6,19,18,Aix-en-Provence,102741999
844,0.0,6,19,9,Aix-en-Provence,102741999
861,0.0,6,21,12,Aix-en-Provence,102741999
853,0.0,6,20,12,Aix-en-Provence,102741999
878,0.0,6,23,15,Aix-en-Provence,102741999
845,0.0,6,19,12,Aix-en-Provence,102741999
869,0.0,6,22,12,Aix-en-Provence,102741999
877,0.0,6,23,12,Aix-en-Provence,102741999
855,0.0,6,20,18,Aix-en-Provence,102741999
863,0.0,6,21,18,Aix-en-Provence,102741999
871,0.0,6,22,18,Aix-en-Provence,102741999
868,0.0,6,22,9,Aix-en-Provence,102741999
876,0.0,6,23,9,Aix-en-Provence,102741999
879,0.0,6,23,18,Aix-en-Provence,102741999
852,0.64,6,20,9,Aix-en-Provence,102741999
860,0.0,6,21,9,Aix-en-Provence,102741999
1199,0.32,6,23,18,Tarascon-sur-Ariège,103773365
1181,0.76,6,21,12,Tarascon-sur-Ariège,103773365
1166,0.98,6,19,15,Tarascon-sur-Ariège,103773365
1174,1.0,6,20,15,Tarascon-sur-Ariège,103773365
1191,0.92,6,22,18,Tarascon-sur-Ariège,103773365
1173,1.0,6,20,12,Tarascon-sur-Ariège,103773365
1165,0.2,6,19,12,Tarascon-sur-Ariège,103773365
1190,0.0,6,22,15,Tarascon-sur-Ariège,103773365
1198,0.95,6,23,15,Tarascon-sur-Ariège,103773365
1197,0.9,6,23,12,Tarascon-sur-Ariège,103773365
1167,0.98,6,19,18,Tarascon-sur-Ariège,103773365
1175,1.0,6,20,18,Tarascon-sur-Ariège,103773365
1183,0.27,6,21,18,Tarascon-sur-Ariège,103773365
1196,1.0,6,23,9,Tarascon-sur-Ariège,103773365
1188,0.41,6,22,9,Tarascon-sur-Ariège,103773365
1180,0.0,6,21,9,Tarascon-sur-Ariège,103773365
1172,0.25,6,20,9,Tarascon-sur-Ariège,103773365
1164,0.0,6,19,9,Tarascon-sur-Ariège,103773365
1182,0.5,6,21,15,Tarascon-sur-Ariège,103773365
1189,0.26,6,22,12,Tarascon-sur-Ariège,103773365
1108,0.0,6,22,9,Collioure,103975931
1102,0.27,6,21,15,Collioure,103975931
1116,0.37,6,23,9,Collioure,103975931
1085,0.0,6,19,12,Collioure,103975931
1093,1.0,6,20,12,Collioure,103975931
1118,0.0,6,23,15,Collioure,103975931
1101,0.0,6,21,12,Collioure,103975931
1109,0.0,6,22,12,Collioure,103975931
1117,0.06,6,23,12,Collioure,103975931
1110,0.0,6,22,15,Collioure,103975931
1095,0.0,6,20,18,Collioure,103975931
1111,0.0,6,22,18,Collioure,103975931
1103,0.12,6,21,18,Collioure,103975931
1092,1.0,6,20,9,Collioure,103975931
1087,0.0,6,19,18,Collioure,103975931
1100,0.0,6,21,9,Collioure,103975931
1084,0.0,6,19,9,Collioure,103975931
1086,0.0,6,19,15,Collioure,103975931
1094,0.0,6,20,15,Collioure,103975931
1119,0.0,6,23,18,Collioure,103975931
1157,0.65,6,23,12,Carcassonne,104358485
1141,0.0,6,21,12,Carcassonne,104358485
1133,0.99,6,20,12,Carcassonne,104358485
